date,bitcoin,isPartial
2016-02-07,74,False
2016-02-08,73,False
2016-02-09,79,False
2016-02-10,84,False
2016-02-11,91,False
2016-02-12,81,False
2016-02-13,74,False
2016-02-14,74,False
2016-02-15,92,False
2016-02-16,89,False
2016-02-17,88,False
2016-02-18,100,False
2016-02-19,96,False
2016-02-20,81,False
2016-02-21,88,False
2016-02-22,86,False
2016-02-23,84,False
2016-02-24,90,False
2016-02-25,83,False
2016-02-26,85,False
2016-02-27,81,False
2016-02-28,76,False
2016-02-29,82,False
2016-03-01,87,False
2016-03-02,88,False
2016-03-03,93,False
2016-03-04,83,False
2016-03-05,100,False
2016-03-06,75,False
2016-03-07,87,False
2016-03-08,85,False
2016-03-09,88,False
2016-03-10,80,False
2016-03-11,75,False
2016-03-12,77,False
2016-03-13,75,False
2016-03-14,88,False
2016-03-15,83,False
2016-03-16,83,False
2016-03-17,80,False
2016-03-18,74,False
2016-03-19,78,False
2016-03-20,80,False
2016-03-21,83,False
2016-03-22,83,False
2016-03-23,81,False
2016-03-24,76,False
2016-03-25,75,False
2016-03-26,72,False
2016-03-27,77,False
2016-03-28,75,False
2016-03-29,81,False
2016-03-30,86,False
2016-03-31,81,False
2016-04-01,74,False
2016-04-02,73,False
2016-04-03,71,False
2016-04-04,76,False
2016-04-05,82,False
2016-04-06,78,False
2016-04-07,79,False
2016-04-08,75,False
2016-04-09,69,False
2016-04-10,77,False
2016-04-11,77,False
2016-04-12,81,False
2016-04-13,84,False
2016-04-14,69,False
2016-04-15,66,False
2016-04-16,70,False
2016-04-17,71,False
2016-04-18,72,False
2016-04-19,78,False
2016-04-20,76,False
2016-04-21,86,False
2016-04-22,89,False
2016-04-23,76,False
2016-04-24,83,False
2016-04-25,87,False
2016-04-26,87,False
2016-04-27,90,False
2016-04-28,100,False
2016-04-29,86,False
2016-04-30,80,False
2016-05-01,27,False
2016-05-02,100,False
2016-05-03,62,False
2016-05-04,43,False
2016-05-05,43,False
2016-05-06,39,False
2016-05-07,37,False
2016-05-08,35,False
2016-05-09,37,False
2016-05-10,36,False
2016-05-11,36,False
2016-05-12,33,False
2016-05-13,33,False
2016-05-14,28,False
2016-05-15,27,False
2016-05-16,27,False
2016-05-17,33,False
2016-05-18,32,False
2016-05-19,33,False
2016-05-20,33,False
2016-05-21,29,False
2016-05-22,28,False
2016-05-23,30,False
2016-05-24,29,False
2016-05-25,32,False
2016-05-26,28,False
2016-05-27,37,False
2016-05-28,42,False
2016-05-29,44,False
2016-05-30,45,False
2016-05-31,42,False
2016-06-01,55,False
2016-06-02,52,False
2016-06-03,56,False
2016-06-04,57,False
2016-06-05,56,False
2016-06-06,57,False
2016-06-07,56,False
2016-06-08,52,False
2016-06-09,53,False
2016-06-10,50,False
2016-06-11,51,False
2016-06-12,74,False
2016-06-13,89,False
2016-06-14,76,False
2016-06-15,69,False
2016-06-16,89,False
2016-06-17,89,False
2016-06-18,73,False
2016-06-19,63,False
2016-06-20,69,False
2016-06-21,82,False
2016-06-22,69,False
2016-06-23,76,False
2016-06-24,100,False
2016-06-25,75,False
2016-06-26,62,False
2016-06-27,65,False
2016-06-28,64,False
2016-06-29,57,False
2016-06-30,58,False
2016-07-01,78,False
2016-07-02,70,False
2016-07-03,73,False
2016-07-04,73,False
2016-07-05,70,False
2016-07-06,72,False
2016-07-07,76,False
2016-07-08,73,False
2016-07-09,100,False
2016-07-10,77,False
2016-07-11,71,False
2016-07-12,69,False
2016-07-13,63,False
2016-07-14,62,False
2016-07-15,63,False
2016-07-16,59,False
2016-07-17,59,False
2016-07-18,61,False
2016-07-19,60,False
2016-07-20,58,False
2016-07-21,63,False
2016-07-22,53,False
2016-07-23,52,False
2016-07-24,56,False
2016-07-25,53,False
2016-07-26,61,False
2016-07-27,64,False
2016-07-28,58,False
2016-07-29,51,False
2016-07-30,56,False
2016-07-31,60,False
2016-08-01,46,False
2016-08-02,58,False
2016-08-03,100,False
2016-08-04,63,False
2016-08-05,48,False
2016-08-06,46,False
2016-08-07,50,False
2016-08-08,49,False
2016-08-09,48,False
2016-08-10,42,False
2016-08-11,37,False
2016-08-12,39,False
2016-08-13,39,False
2016-08-14,39,False
2016-08-15,39,False
2016-08-16,40,False
2016-08-17,40,False
2016-08-18,39,False
2016-08-19,41,False
2016-08-20,36,False
2016-08-21,39,False
2016-08-22,39,False
